iso_code,name,type,name_with_type,csse_province_state,federal_district,timezone,geoname_code,geoname_id,geoname_name,population,population_urban,population_rural
RU-KL,Калмыкия,Респ,Респ Калмыкия,Republic of Kalmykia,Южный,UTC+3,RU.24,553972,Kalmykiya Republic,271035,124393,146642
RU-KC,Карачаево-Черкесская,Респ,Респ Карачаево-Черкесская,Republic of Karachaevo-Cherkessia,Северо-Кавказский,UTC+3,RU.27,552927,Karachayevo-Cherkesiya Republic,465669,199703,265966
RU-KR,Карелия,Респ,Респ Карелия,Republic of Karelia,Северо-Западный,UTC+3,RU.28,552548,Karelia,614628,498156,116472
RU-KO,Коми,Респ,Респ Коми,Komi republic,Северо-Западный,UTC+3,RU.34,545854,Komi,820171,641442,178729
UA-43,Крым,Респ,Респ Крым,Republic of Crimea,Южный,UTC+3,UA.11,703883,Crimea,1912025,974739,937286
RU-ME,Марий Эл,Респ,Респ Марий Эл,Republic of Mariy El,Приволжский,UTC+3,RU.45,529352,Mariy-El Republic,679094,455179,223915
RU-MO,Мордовия,Респ,Респ Мордовия,Republic of Mordovia,Приволжский,UTC+3,RU.46,525369,Mordoviya Republic,790829,504905,285924
RU-SA,Саха /Якутия/,Респ,Респ Саха /Якутия/,Saha republic,Дальневосточный,UTC+9,RU.63,2013162,Sakha,970105,640897,329208
RU-SE,Северная Осетия - Алания,Респ,Респ Северная Осетия - Алания,Republic of North Osetia - Alania,Северо-Кавказский,UTC+3,RU.68,519969,North Ossetia,697064,448320,248744
RU-TA,Татарстан,Респ,Респ Татарстан,Republic of Tatarstan,Приволжский,UTC+3,RU.73,484048,Tatarstan Republic,3902642,3001688,900954
RU-TY,Тыва,Респ,Респ Тыва,Republic of Tyva,Сибирский,UTC+7,RU.79,1488873,Republic of Tyva,327388,177665,149723
RU-UD,Удмуртская,Респ,Респ Удмуртская,Republic of Udmurtia,Приволжский,UTC+4,RU.80,479613,Udmurtiya Republic,1501005,992330,508675
RU-KK,Хакасия,Респ,Респ Хакасия,Republic of Hakassia,Сибирский,UTC+7,RU.31,1503834,Khakasiya Republic,534186,372955,161231
RU-CE,Чеченская,Респ,Респ Чеченская,Chechen republic,Северо-Кавказский,UTC+3,RU.12,569665,Chechnya,1476752,544760,931992
RU-ROS,Ростовская,обл,Ростовская обл,Rostov oblast,Южный,UTC+3,RU.61,501165,Rostov,4195327,2860931,1334396
RU-RYA,Рязанская,обл,Рязанская обл,Ryazan oblast,Центральный,UTC+3,RU.62,500059,Ryazan Oblast,1108924,800800,308124
RU-SAM,Самарская,обл,Самарская обл,Samara oblast,Приволжский,UTC+4,RU.65,499068,Samara Oblast,3179026,2537265,641761
RU-SAR,Саратовская,обл,Саратовская обл,Saratov oblast,Приволжский,UTC+4,RU.67,498671,Saratovskaya Oblast,2421785,1830957,590828
RU-SAK,Сахалинская,обл,Сахалинская обл,Sakhalin oblast,Дальневосточный,UTC+11,RU.64,2121529,Sakhalin Oblast,488453,402271,86182
RU-SVE,Свердловская,обл,Свердловская обл,Sverdlov oblast,Уральский,UTC+5,RU.71,1490542,Sverdlovsk,4310861,3664833,646028
RU-SMO,Смоленская,обл,Смоленская обл,Smolensk oblast,Центральный,UTC+3,RU.69,491684,Smolensk,934747,671445,263302
RU-STA,Ставропольский,край,Ставропольский край,Stavropolskiy kray,Северо-Кавказский,UTC+3,RU.70,487839,Stavropol Kray,2803021,1655987,1147034
RU-TAM,Тамбовская,обл,Тамбовская обл,Tambov oblast,Центральный,UTC+3,RU.72,484638,Tambov,1006962,618169,388793
RU-TVE,Тверская,обл,Тверская обл,Tver oblast,Центральный,UTC+3,RU.77,480041,Tver Oblast,1260345,959753,300592
RU-TOM,Томская,обл,Томская обл,Tomsk oblast,Сибирский,UTC+7,RU.75,1489421,Tomsk Oblast,1079051,781262,297789
RU-TUL,Тульская,обл,Тульская обл,Tula oblast,Центральный,UTC+3,RU.76,480508,Tula,1466025,1096891,369134
RU-TYU,Тюменская,обл,Тюменская обл,Tumen oblast,Уральский,UTC+5,RU.78,1488747,Tyumen Oblast,3755778,3042591,713187
RU-ULY,Ульяновская,обл,Ульяновская обл,Ulianovsk oblast,Приволжский,UTC+4,RU.81,479119,Ulyanovsk,1229687,932510,297177
RU-KHA,Хабаровский,край,Хабаровский край,Habarovskiy kray,Дальневосточный,UTC+10,RU.30,2022888,Khabarovsk,1315310,1079726,235584
RU-KHM,Ханты-Мансийский Автономный округ - Югра,АО,Ханты-Мансийский Автономный округ - Югра,Hanty-Mansiyskiy AO,Уральский,UTC+5,RU.32,1503773,Khanty-Mansia,1674086,1548527,125559
RU-CHE,Челябинская,обл,Челябинская обл,Cheliabinsk oblast,Уральский,UTC+5,RU.13,1508290,Chelyabinsk,3466960,2865000,601960
RU-CU,Чувашская Республика -,Чувашия,Чувашская Республика - Чувашия,Republic of Chuvashia,Приволжский,UTC+3,RU.16,567395,Chuvashia,1217820,772101,445719
RU-CHU,Чукотский,АО,Чукотский АО,,Дальневосточный,UTC+12,RU.15,2126099,Chukotka,50726,36273,14453
RU-YAN,Ямало-Ненецкий,АО,Ямало-Ненецкий АО,Yamalo-Nenetskiy AO,Уральский,UTC+5,RU.87,1486462,Yamalo-Nenets,544008,456604,87404
RU-YAR,Ярославская,обл,Ярославская обл,Yaroslavl oblast,Центральный,UTC+3,RU.88,468898,Jaroslavl,1253189,1022434,230755
